# generated by lexgen from seed/seed.json + domain/model.json — do not edit
# surface	kind	tag	value   (value = lemma for forms, suggestion for rejects, capitalized term for terms, capitalized parent category for member_of)
Linters	form	NOUN_PL	linter
Markdown	name	-	Markdown
Modifier	form	NOUN_SG	modifier
Modifiers	form	NOUN_PL	modifier
Name	form	NOUN_SG	name
Name	member_of	-	Noun Phrase
Names	form	NOUN_PL	name
Negation	form	NOUN_SG	negation
Negation	member_of	-	Sentence Shape
Negations	form	NOUN_PL	negation
Noun Phrase	form	NOUN_SG	noun phrase
Noun Phrase	member_of	-	Constituent
Noun Phrases	form	NOUN_PL	noun phrase
Noun Preposition	form	NOUN_SG	noun preposition
Noun Preposition	member_of	-	Function Word
Noun Prepositions	form	NOUN_PL	noun preposition
Number Word	form	NOUN_SG	number word
Number Words	form	NOUN_PL	number word
Open Dependencies	form	NOUN_PL	open dependency
Open Dependency	form	NOUN_SG	open dependency
Ordinal	form	NOUN_SG	ordinal
Ordinals	form	NOUN_PL	ordinal
Paradigm	form	NOUN_SG	paradigm
Paradigms	form	NOUN_PL	paradigm
Parse	form	NOUN_SG	parse
Parses	form	NOUN_PL	parse
Participle	form	NOUN_SG	participle
Participles	form	NOUN_PL	participle
Passive	form	NOUN_SG	passive
Passives	form	NOUN_PL	passive
Prepositional Phrase	form	NOUN_SG	prepositional phrase
Prepositional Phrase	member_of	-	Constituent
Prepositional Phrases	form	NOUN_PL	prepositional phrase
Progressive	form	NOUN_SG	progressive
Progressives	form	NOUN_PL	progressive
Prohibition	form	NOUN_SG	prohibition
Prohibition	member_of	-	Sentence Shape
Prohibitions	form	NOUN_PL	prohibition
Pronoun	form	NOUN_SG	pronoun
Pronoun	member_of	-	Function Word
Pronouns	form	NOUN_PL	pronoun
Propositional Loss	form	NOUN_SG	propositional loss
Propositional Losses	form	NOUN_PL	propositional loss
Redirect	form	NOUN_SG	redirect
Redirects	form	NOUN_PL	redirect
Reduced Relative	form	NOUN_SG	reduced relative
Reduced Relatives	form	NOUN_PL	reduced relative
Reference Ambiguities	form	NOUN_PL	reference ambiguity
Reference Ambiguity	form	NOUN_SG	reference ambiguity
Register Loss	form	NOUN_SG	register loss
Register Loss	member_of	-	Declared Loss
Register Losses	form	NOUN_PL	register loss
Rejected Sense	form	NOUN_SG	rejected sense
Rejected Senses	form	NOUN_PL	rejected sense
Rejection	form	NOUN_SG	rejection
Rejections	form	NOUN_PL	rejection
Scale Word	form	NOUN_SG	scale word
Scale Word	member_of	-	Function Word
Scale Words	form	NOUN_PL	scale word
Scope Ambiguities	form	NOUN_PL	scope ambiguity
Scope Ambiguity	form	NOUN_SG	scope ambiguity
Seed	form	NOUN_SG	seed
Seeds	form	NOUN_PL	seed
Sentence Shape	form	NOUN_SG	sentence shape
Sentence Shapes	form	NOUN_PL	sentence shape
Step Block	form	NOUN_SG	step block
Step Block	member_of	-	Block
Step Blocks	form	NOUN_PL	step block
Structure Loss	form	NOUN_SG	structure loss
Structure Loss	member_of	-	Declared Loss
Structure Losses	form	NOUN_PL	structure loss
Surface Form	form	NOUN_SG	surface form
Surface Forms	form	NOUN_PL	surface form
Tense	form	NOUN_SG	tense
Tenses	form	NOUN_PL	tense
Translation Pair	form	NOUN_SG	translation pair
Translation Pairs	form	NOUN_PL	translation pair
Triage	name	-	Triage
Verb Preposition	form	NOUN_SG	verb preposition
Verb Preposition	member_of	-	Function Word
Verb Prepositions	form	NOUN_PL	verb preposition
WordNet	name	-	WordNet
a	form	DET_SG	a
abilities	form	NOUN_PL	ability
ability	form	NOUN_SG	ability
about	form	APPROX	about
absent	form	ADJ_LONG	absent
absent	reject_advice	VERB	the verb sense (formal — "to absent oneself from a meeting") is not enabled; angloform allows one sense per word
absolute	form	ADJ_LONG	absolute
absolute	reject_advice	NOUN	the noun sense (philosophy jargon — "the Absolute") is not enabled; angloform allows one sense per word
accept	form	VERB_TRANS_BASE	accept
acceptable	form	ADJ_LONG	acceptable
accepted	form	VERB_TRANS_ED	accept
accepting	form	VERB_TRANS_ING	accept
accepts	form	VERB_TRANS_3SG	accept
achievement	form	NOUN_SG	achievement
achievements	form	NOUN_PL	achievement
acknowledge	form	VERB_TRANS_BASE	acknowledge
acknowledged	form	VERB_TRANS_ED	acknowledge
acknowledges	form	VERB_TRANS_3SG	acknowledge
acknowledging	form	VERB_TRANS_ING	acknowledge
across	form	PREP_V	across
action	form	NOUN_SG	action
action	reject_advice	VERB	the verb sense (business jargon — "let's action this") is not enabled; angloform allows one sense per word
actions	form	NOUN_PL	action
add	form	VERB_TRANS_BASE	add
add	reject_advice	NOUN	the reference data attests a noun use of "add"; no common meaning could be confirmed — not enabled
added	form	VERB_TRANS_ED	add
adding	form	VERB_TRANS_ING	add
addition	form	NOUN_SG	addition
additions	form	NOUN_PL	addition
addressee	form	NOUN_SG	addressee
addressees	form	NOUN_PL	addressee
adds	form	VERB_TRANS_3SG	add
adjective	form	NOUN_SG	adjective
adjective	reject_advice	ADJ	the adjective sense (legal jargon — "adjective law", meaning procedural) is not enabled; angloform allows one sense per word
adjectives	form	NOUN_PL	adjective
admit	form	VERB_TRANS_BASE	admit
admits	form	VERB_TRANS_3SG	admit
admitted	form	VERB_TRANS_ED	admit
admitting	form	VERB_TRANS_ING	admit
adopt	form	VERB_TRANS_BASE	adopt
adopted	form	VERB_TRANS_ED	adopt
adopting	form	VERB_TRANS_ING	adopt
adopts	form	VERB_TRANS_3SG	adopt
adversative	form	ADJ_LONG	adversative
adversative	reject_advice	NOUN	the noun sense (an adversative — a contrastive conjunction, linguistics jargon) is not enabled; angloform allows one sense per word
advice	form	NOUN_SG	advice
advices	form	NOUN_PL	advice
affect	form	NOUN_SG	affect
affect	reject_advice	VERB	the verb sense ("to affect something", i.e. to influence) is not enabled; angloform allows one sense per word
affection	form	NOUN_SG	affection
affections	form	NOUN_PL	affection
affects	form	NOUN_PL	affect
after	form	PREP_V	after
afterward	form	TIME_ADV	afterward
against	form	PREP_V	against
agent	form	NOUN_SG	agent
agents	form	NOUN_PL	agent
aid	ban	-	write "help": "the rule helps the reader"
algorithm	form	NOUN_SG	algorithm
algorithms	form	NOUN_PL	algorithm
all	ban	-	write "every" with a singular noun (ADR 0014)
allow	form	VERB_TRANS_BASE	allow
allowed	form	VERB_TRANS_ED	allow
allowing	form	VERB_TRANS_ING	allow
allows	form	VERB_TRANS_3SG	allow
alone	form	ADJ_LONG	alone
alone	reject_advice	ADV	only the predicate use is enabled ("I am alone", ADR 0052); the adverbial sense ("leave it alone") is deferred; angloform has no adverb category
already	form	TEMP_ADV	already
also	ban	-	"also" adds a second claim - write the claim as its own sentence; the reader keeps both
am	form	COPULA_1SG	am
ambiguities	form	NOUN_PL	ambiguity
ambiguity	form	NOUN_SG	ambiguity
ambiguous	form	ADJ_LONG	ambiguous
an	form	DET_SG	an
anaphora	form	NOUN_SG	anaphora
anaphoras	form	NOUN_PL	anaphora
anaphoric	form	ADJ_LONG	anaphoric
anaphoric pronoun	term	-	Anaphoric Pronoun
anaphoric pronouns	term	-	Anaphoric Pronouns
and	form	CONJ	and
announce	form	VERB_TRANS_BASE	announce
announced	form	VERB_TRANS_ED	announce
announces	form	VERB_TRANS_3SG	announce
announcing	form	VERB_TRANS_ING	announce
answer	form	VERB_TRANS_BASE	answer
answer	reject_advice	NOUN	the noun sense (an answer) is not enabled; angloform allows one sense per word
answered	form	VERB_TRANS_ED	answer
answering	form	VERB_TRANS_ING	answer
answers	form	VERB_TRANS_3SG	answer
antonym	form	NOUN_SG	antonym
antonyms	form	NOUN_PL	antonym
apartment	form	NOUN_SG	apartment
apartments	form	NOUN_PL	apartment
apparent	form	ADJ_LONG	apparent
apparently	ban	-	epistemic hedges are banned - state the claim directly, or name the source and let the reader judge it (ADR 0042)
appear	form	VERB_INTRANS_BASE	appear
appeared	form	VERB_INTRANS_ED	appear
appearing	form	VERB_INTRANS_ING	appear
appears	form	VERB_INTRANS_3SG	appear
applied	form	VERB_TRANS_ED	apply
applies	form	VERB_TRANS_3SG	apply
apply	form	VERB_TRANS_BASE	apply
applying	form	VERB_TRANS_ING	apply
appositive	form	NOUN_SG	appositive
appositive	reject_advice	ADJ	the adjective sense (grammar jargon — "the phrase is appositive") is not enabled; angloform allows one sense per word
appositives	form	NOUN_PL	appositive
approximate	form	ADJ_LONG	approximate
approximate	reject_advice	VERB	the verb sense ("to approximate a value") is not enabled; angloform allows one sense per word
approximation	form	NOUN_SG	approximation
approximations	form	NOUN_PL	approximation
april	form	NOUN_SG	april
aprils	form	NOUN_PL	april
archetype	form	NOUN_SG	archetype
archetypes	form	NOUN_PL	archetype
architect	form	NOUN_SG	architect
architects	form	NOUN_PL	architect
are	form	COPULA_PL	are
arguably	ban	-	epistemic hedges are banned - state the claim directly, or name the source and let the reader judge it (ADR 0042)
argument	form	NOUN_SG	argument
arguments	form	NOUN_PL	argument
arrive	form	VERB_INTRANS_BASE	arrive
arrived	form	VERB_INTRANS_ED	arrive
arrives	form	VERB_INTRANS_3SG	arrive
arriving	form	VERB_INTRANS_ING	arrive
artist	form	NOUN_SG	artist
artists	form	NOUN_PL	artist
as	ban	-	"as" has too many senses - for a reason write "<result>, because <reason>" (ADR 0026); for a comparison write "is <adjective>er than <noun phrase>" (ADR 0030)
aspect	form	NOUN_SG	aspect
aspects	form	NOUN_PL	aspect
assert	form	VERB_TRANS_BASE	assert
asserted	form	VERB_TRANS_ED	assert
asserting	form	VERB_TRANS_ING	assert
asserts	form	VERB_TRANS_3SG	assert
asset	form	NOUN_SG	asset
assets	form	NOUN_PL	asset
assume	form	VERB_TRANS_BASE	assume
assumed	form	VERB_TRANS_ED	assume
assumes	form	VERB_TRANS_3SG	assume
assuming	form	VERB_TRANS_ING	assume
assure	form	VERB_TRANS_BASE	assure
assured	form	VERB_TRANS_ED	assure
assures	form	VERB_TRANS_3SG	assure
assuring	form	VERB_TRANS_ING	assure
asymmetries	form	NOUN_PL	asymmetry
asymmetry	form	NOUN_SG	asymmetry
at	form	PREP_V	at
attach	form	VERB_INTRANS_BASE	attach
attach	reject_advice	NOUN	the reference data attests a noun use of "attach"; no common meaning could be confirmed — not enabled
attached	form	VERB_INTRANS_ED	attach
attaches	form	VERB_INTRANS_3SG	attach
attaching	form	VERB_INTRANS_ING	attach
attachment	form	NOUN_SG	attachment
attachments	form	NOUN_PL	attachment
attest	form	VERB_TRANS_BASE	attest
attestation	form	NOUN_SG	attestation
attestations	form	NOUN_PL	attestation
attested	form	VERB_TRANS_ED	attest
attesting	form	VERB_TRANS_ING	attest
attests	form	VERB_TRANS_3SG	attest
audit	form	VERB_TRANS_BASE	audit
audit	reject_advice	NOUN	the noun sense (an audit) is not enabled; angloform allows one sense per word
audited	form	VERB_TRANS_ED	audit
auditing	form	VERB_TRANS_ING	audit
audits	form	VERB_TRANS_3SG	audit
august	form	NOUN_SG	august
august	reject_gap	ADJ	no already-enabled word covers this sense yet
augusts	form	NOUN_PL	august
author	form	NOUN_SG	author
author	reject_advice	VERB	the verb sense ("to author a book") is not enabled; angloform allows one sense per word
authors	form	NOUN_PL	author
autobiographies	form	NOUN_PL	autobiography
autobiography	form	NOUN_SG	autobiography
auxiliaries	term	-	Auxiliaries
auxiliary	term	-	Auxiliary
available	form	ADJ_LONG	available
avoid	form	VERB_TRANS_BASE	avoid
avoided	form	VERB_TRANS_ED	avoid
avoiding	form	VERB_TRANS_ING	avoid
avoids	form	VERB_TRANS_3SG	avoid
backyard	form	NOUN_SG	backyard
backyards	form	NOUN_PL	backyard
bad	form	ADJ	bad
bad	reject_advice	ADV	the adverbial sense (informal — "wants it bad", nonstandard for "badly") is not enabled; angloform has no adverb category
bad	reject_advice	NOUN	the noun sense ("take the good with the bad") is not enabled; angloform allows one sense per word
bad	reject_advice	VERB	the reference data attests a verb use of "bad"; no common meaning could be confirmed — not enabled
badder	form	ADJ_CMP	bad
baddest	form	ADJ_SUP	bad
ban	form	VERB_TRANS_BASE	ban
ban	reject_advice	NOUN	the noun sense (a ban) is not enabled; angloform allows one sense per word
ban	term	-	Ban
banned	form	VERB_TRANS_ED	ban
banning	form	VERB_TRANS_ING	ban
bans	form	VERB_TRANS_3SG	ban
bans	term	-	Bans
bare	form	ADJ_LONG	bare
bare	reject_advice	VERB	the verb sense ("to bare one's teeth") is not enabled; angloform allows one sense per word
bare plural	term	-	Bare Plural
bare plurals	term	-	Bare Plurals
base	form	ADJ_LONG	base
base	reject_advice	NOUN	the noun sense (a base, e.g. military, or a number base) is not enabled; angloform allows one sense per word
base	reject_advice	VERB	the verb sense ("to base a decision on something") is not enabled; angloform allows one sense per word
be	form	BE	be
beat	form	VERB_TRANS_BASE	beat
beat	reject_advice	ADJ	the adjective sense (informal — "I'm beat", meaning exhausted) is not enabled; angloform allows one sense per word
beat	reject_advice	NOUN	the noun sense (a beat — musical, or a police officer's beat) is not enabled; angloform allows one sense per word
beaten	form	VERB_TRANS_ED	beat
beating	form	VERB_TRANS_ING	beat
beats	form	VERB_TRANS_3SG	beat
became	form	BECOME_PAST	became
because	form	REASON	because
become	form	BECOME_PL	become
becomes	form	BECOME_SG	becomes
before	form	PREP_V	before
belong	form	VERB_INTRANS_BASE	belong
belonged	form	VERB_INTRANS_ED	belong
belonging	form	VERB_INTRANS_ING	belong
belongs	form	VERB_INTRANS_3SG	belong
best	form	ADJ_SUP	good
better	form	ADJ_CMP	good
between	form	PREP_V	between
big	form	ADJ	big
big	reject_advice	ADV	the adverbial sense ("win big") is not enabled; angloform has no adverb category
bigger	form	ADJ_CMP	big
biggest	form	ADJ_SUP	big
billion	form	SCALE	billion
binaries	form	NOUN_PL	binary
binary	form	NOUN_SG	binary
binary	reject_advice	ADJ	the adjective sense ("binary code") is unused in this domain; not enabled
black	form	COLOR_ADJ	black
black	reject_gap	NOUN	no already-enabled word covers this sense yet
black	reject_gap	VERB	no already-enabled word covers this sense yet
block	term	-	Block
blocker	form	NOUN_SG	blocker
blockers	form	NOUN_PL	blocker
blocks	term	-	Blocks
blood	form	NOUN_SG	blood
blood	reject_gap	VERB	no already-enabled word covers this sense yet
bloods	form	NOUN_PL	blood
blue	form	COLOR_ADJ	blue
blue	reject_gap	NOUN	no already-enabled word covers this sense yet
blue	reject_gap	VERB	no already-enabled word covers this sense yet
blunt	form	ADJ	blunt
blunt	reject_advice	VERB	the verb sense ("to blunt an edge" or "to blunt criticism") is not enabled; angloform allows one sense per word
blunter	form	ADJ_CMP	blunt
bluntest	form	ADJ_SUP	blunt
bound	form	NOUN_SG	bound
bound	reject_advice	ADJ	the adjective sense ("bound for home", meaning destined) is not enabled; angloform allows one sense per word
bound	reject_advice	VERB	the verb sense ("to bound across the field", meaning to leap) is not enabled; angloform allows one sense per word
bounds	form	NOUN_PL	bound
bracketing	form	NOUN_SG	bracketing
bracketings	form	NOUN_PL	bracketing
branch	form	NOUN_SG	branch
branch	reject_advice	VERB	the verb sense ("the road branches", "to branch out") is not enabled; angloform allows one sense per word
branches	form	NOUN_PL	branch
branching	form	NOUN_SG	branching
branching	reject_advice	ADJ	the adjective (participial) sense ("a branching path") is not enabled; angloform allows one sense per word
branchings	form	NOUN_PL	branching
brand	form	NOUN_SG	brand
brand	reject_advice	VERB	the verb sense ("to brand cattle", or "to brand someone as X") is not enabled; angloform allows one sense per word
brands	form	NOUN_PL	brand
break	form	VERB_TRANS_BASE	break
break	reject_advice	NOUN	the noun sense (a break) is not enabled; angloform allows one sense per word
breaking	form	VERB_TRANS_ING	break
breaks	form	VERB_TRANS_3SG	break
breeze	form	NOUN_SG	breeze
breeze	reject_advice	VERB	the verb sense ("to breeze through an exam", "she breezed in") is not enabled; angloform allows one sense per word
breezes	form	NOUN_PL	breeze
broke	form	VERB_TRANS_ED	break
broken	form	VERB_TRANS_ED	break
brown	form	COLOR_ADJ	brown
brown	reject_gap	NOUN	no already-enabled word covers this sense yet
brown	reject_gap	VERB	no already-enabled word covers this sense yet
bug	form	NOUN_SG	bug
bug	reject_advice	VERB	the verb sense ("to bug someone"; "to bug a room", i.e. plant a listening device) is not enabled; angloform allows one sense per word
bugs	form	NOUN_PL	bug
build	form	VERB_TRANS_BASE	build
build	reject_advice	NOUN	a thing, which comes from parts
building	form	VERB_TRANS_ING	build
builds	form	VERB_TRANS_3SG	build
built	form	VERB_TRANS_ED	build
bullet	form	NOUN_SG	bullet
bullets	form	NOUN_PL	bullet
but	form	CONJ	but
by	form	PREP_V	by
cache	form	NOUN_SG	cache
cache	reject_advice	VERB	the verb sense (computing — "to cache a value") is not enabled; angloform allows one sense per word
caches	form	NOUN_PL	cache
came	form	VERB_INTRANS_ED	come
can	form	MODAL_CAN	can
candidate	form	NOUN_SG	candidate
candidates	form	NOUN_PL	candidate
cannot	form	MODAL_CAN_NEG	cannot
capital	form	NOUN_SG	capital
capital	reject_advice	ADJ	the adjective sense ("a capital idea"; "capital punishment") is not enabled; angloform allows one sense per word
capitalized	form	ADJ_LONG	capitalized
capitalized	reject_advice	VERB	"capitalized" is the past participle of the verb "capitalize" (not separately enabled); angloform allows one sense per word
capitals	form	NOUN_PL	capital
carried	form	VERB_TRANS_ED	carry
carries	form	VERB_TRANS_3SG	carry
carry	form	VERB_TRANS_BASE	carry
carry	reject_advice	NOUN	the noun sense (a carry, e.g. in arithmetic or golf) is not enabled; angloform allows one sense per word
carrying	form	VERB_TRANS_ING	carry
case	form	NOUN_SG	case
case	reject_advice	VERB	the verb sense (slang — "to case a joint", i.e. scope it out) is not enabled; angloform allows one sense per word
cases	form	NOUN_PL	case
catch	form	VERB_TRANS_BASE	catch
catch	reject_advice	NOUN	a thing, which causes a problem
catches	form	VERB_TRANS_3SG	catch
catching	form	VERB_TRANS_ING	catch
categorical	form	ADJ_LONG	categorical
categories	term	-	Categories
category	term	-	Category
caught	form	VERB_TRANS_ED	catch
causal	form	ADJ_LONG	causal
cause	form	VERB_TRANS_BASE	cause
cause	reject_advice	NOUN	a thing, which produces a result
caused	form	VERB_TRANS_ED	cause
causes	form	VERB_TRANS_3SG	cause
causing	form	VERB_TRANS_ING	cause
chain	form	NOUN_SG	chain
chain	reject_advice	VERB	the verb sense ("to chain a dog") is not enabled; angloform allows one sense per word
chains	form	NOUN_PL	chain
challenge	form	VERB_TRANS_BASE	challenge
challenge	reject_advice	NOUN	the noun sense (a challenge) is not enabled; angloform allows one sense per word
challenged	form	VERB_TRANS_ED	challenge
challenges	form	VERB_TRANS_3SG	challenge
challenging	form	VERB_TRANS_ING	challenge
change	form	VERB_TRANS_BASE	change
change	reject_advice	NOUN	the noun sense (change — coins, or a change of plans) is not enabled; angloform allows one sense per word
changed	form	VERB_TRANS_ED	change
changes	form	VERB_TRANS_3SG	change
changing	form	VERB_TRANS_ING	change
character	form	NOUN_SG	character
character	reject_advice	VERB	the verb sense (archaic — "to character", meaning to describe or inscribe) is not enabled; angloform allows one sense per word
characters	form	NOUN_PL	character
charisma	form	NOUN_SG	charisma
charismas	form	NOUN_PL	charisma
cheap	form	ADJ	cheap
cheap	reject_advice	ADV	the adverbial sense ("buy it cheap", "sell cheap") is not enabled; angloform has no adverb category
cheap	reject_advice	NOUN	the noun sense ("on the cheap", meaning inexpensively) is not enabled; angloform allows one sense per word
cheaper	form	ADJ_CMP	cheap
cheapest	form	ADJ_SUP	cheap
cheat	form	VERB_INTRANS_BASE	cheat
cheat	reject_advice	NOUN	the noun sense (a cheat — a dishonest act, or a person) is not enabled; angloform allows one sense per word
cheated	form	VERB_INTRANS_ED	cheat
cheating	form	VERB_INTRANS_ING	cheat
cheats	form	VERB_INTRANS_3SG	cheat
check	form	VERB_TRANS_BASE	check
check	reject	NOUN	test
checked	form	VERB_TRANS_ED	check
checking	form	VERB_TRANS_ING	check
checks	form	VERB_TRANS_3SG	check
choice	form	NOUN_SG	choice
choice	reject_advice	ADJ	the adjective sense ("choice cuts of meat", meaning select) is not enabled; angloform allows one sense per word
choices	form	NOUN_PL	choice
choose	form	VERB_TRANS_BASE	choose
chooses	form	VERB_TRANS_3SG	choose
choosing	form	VERB_TRANS_ING	choose
chose	form	VERB_TRANS_ED	choose
chosen	form	VERB_TRANS_ED	choose
citizen	form	NOUN_SG	citizen
citizens	form	NOUN_PL	citizen
claim	form	NOUN_SG	claim
claim	reject_advice	VERB	the verb sense ("to claim something") is not enabled; angloform allows one sense per word
claims	form	NOUN_PL	claim
clarities	form	NOUN_PL	clarity
clarity	form	NOUN_SG	clarity
class	form	NOUN_SG	class
class	reject_advice	VERB	the verb sense ("to class something as X") is not enabled; angloform allows one sense per word
classes	form	NOUN_PL	class
classic	form	ADJ_LONG	classic
classic	reject_advice	NOUN	the noun sense (a classic) is not enabled; angloform allows one sense per word
clause	form	NOUN_SG	clause
clauses	form	NOUN_PL	clause
clean	form	VERB_TRANS_BASE	clean
clean	reject_advice	ADJ	the adjective sense ("a clean room") is not enabled; angloform allows one sense per word
clean	reject_advice	ADV	the adverbial sense ("clean forgot", "hit it clean") is not enabled; angloform has no adverb category
clean	reject_advice	NOUN	the reference data attests a noun use of "clean"; no common meaning could be confirmed — not enabled
cleaned	form	VERB_TRANS_ED	clean
cleaning	form	VERB_TRANS_ING	clean
cleans	form	VERB_TRANS_3SG	clean
clear	form	ADJ	clear
clear	reject_advice	ADV	the adverbial sense ("stand clear") is not enabled; angloform has no adverb category
clear	reject_advice	NOUN	a place, which avoids a problem
clear	reject_advice	VERB	the verb sense ("to clear a table") is not enabled; angloform allows one sense per word
clearer	form	ADJ_CMP	clear
clearest	form	ADJ_SUP	clear
closed	form	ADJ_LONG	closed
closed class	term	-	Closed Class
closed classes	term	-	Closed Classes
cloth	form	NOUN_SG	cloth
cloths	form	NOUN_PL	cloth
cognitive load	term	-	Cognitive Load
cognitive loads	term	-	Cognitive Loads
coherence	form	NOUN_SG	coherence
coherences	form	NOUN_PL	coherence
coin	form	VERB_TRANS_BASE	coin
coin	reject_advice	NOUN	a thing, which has a value
coinage	form	NOUN_SG	coinage
coinages	form	NOUN_PL	coinage
coined	form	VERB_TRANS_ED	coin
coining	form	VERB_TRANS_ING	coin
coins	form	VERB_TRANS_3SG	coin
collide	form	VERB_INTRANS_BASE	collide
collided	form	VERB_INTRANS_ED	collide
collides	form	VERB_INTRANS_3SG	collide
colliding	form	VERB_INTRANS_ING	collide
collision	term	-	Collision
collisions	term	-	Collisions
colon	form	NOUN_SG	colon
colons	form	NOUN_PL	colon
color	form	COLOR	color
column	form	NOUN_SG	column
columns	form	NOUN_PL	column
come	form	VERB_INTRANS_BASE	come
come	reject_advice	NOUN	the noun sense is vulgar slang and not enabled; angloform allows one sense per word
comes	form	VERB_INTRANS_3SG	come
comfortable	form	ADJ_LONG	comfortable
coming	form	VERB_INTRANS_ING	come
comma	form	NOUN_SG	comma
command	form	NOUN_SG	command
command	reject_advice	VERB	the verb sense ("to command an army") is not enabled; angloform allows one sense per word
commands	form	NOUN_PL	command
commas	form	NOUN_PL	comma
commit	form	NOUN_SG	commit
commit	reject	VERB	save
commits	form	NOUN_PL	commit
common	form	ADJ_LONG	common
common	reject_advice	NOUN	the noun sense (a common, shared public land) is not enabled; angloform allows one sense per word
communities	form	NOUN_PL	community
community	form	NOUN_SG	community
comparative	term	-	Comparative
comparatives	term	-	Comparatives
compare	form	VERB_TRANS_BASE	compare
compare	reject_advice	NOUN	a thing, which matches a thing
compared	form	VERB_TRANS_ED	compare
compares	form	VERB_TRANS_3SG	compare
comparing	form	VERB_TRANS_ING	compare
comparison	form	NOUN_SG	comparison
comparisons	form	NOUN_PL	comparison
compiler	form	NOUN_SG	compiler
compilers	form	NOUN_PL	compiler
complement	term	-	Complement
complements	term	-	Complements
complete	form	ADJ_LONG	complete
complete	reject_advice	VERB	the verb sense ("to complete a task") is not enabled; angloform allows one sense per word
compound	form	ADJ_LONG	compound
compound	reject_advice	NOUN	a place, which holds things
compound	reject_advice	VERB	the verb sense ("to compound a problem") is not enabled; angloform allows one sense per word
compound	term	-	Compound
compounds	term	-	Compounds
