# generated by triage — do not edit
# lemma	upos	count
weather	NOUN	5
wholesale	ADJ	5
wife	NOUN	5
within	ADP	5
worried	ADJ	5
yeah	INTJ	5
12	NUM	4
200	NUM	4
2000	NUM	4
2001	NUM	4
4	NUM	4
40	NUM	4
@	ADP	4
High	ADJ	4
II	NUM	4
VI	NUM	4
absolutely	ADV	4
additional	ADJ	4
administration	NOUN	4
airline	NOUN	4
along	ADP	4
animal	NOUN	4
arrest	VERB	4
bacon	NOUN	4
basis	NOUN	4
benefit	NOUN	4
breakfast	NOUN	4
cell	NOUN	4
chance	NOUN	4
charity	NOUN	4
coffee	NOUN	4
connection	NOUN	4
contract	NOUN	4
cook	VERB	4
custom	NOUN	4
daily	ADJ	4
definitely	ADV	4
delivery	NOUN	4
detail	NOUN	4
develop	VERB	4
door	NOUN	4
election	NOUN	4
energy	NOUN	4
favor	NOUN	4
feather	NOUN	4
financial	ADJ	4
fish	NOUN	4
flight	NOUN	4
forward	VERB	4
fun	NOUN	4
healthy	ADJ	4
hello	INTJ	4
high	ADJ	4
hopefully	ADV	4
indicate	VERB	4
investor	NOUN	4
key	ADJ	4
leg	NOUN	4
legitimate	ADJ	4
lie	VERB	4
listen	VERB	4
lunch	NOUN	4
major	ADJ	4
massage	NOUN	4
maybe	ADV	4
meal	NOUN	4
meat	NOUN	4
media	NOUN	4
memo	NOUN	4
mind	NOUN	4
modern	ADJ	4
movement	NOUN	4
music	NOUN	4
notice	VERB	4
office	NOUN	4
ok	ADJ	4
online	ADJ	4
oppose	VERB	4
ounce	NOUN	4
own	VERB	4
participate	VERB	4
pass	VERB	4
plot	NOUN	4
political	ADJ	4
possibly	ADV	4
presentation	NOUN	4
pull	VERB	4
raise	VERB	4
reflect	VERB	4
respect	NOUN	4
ride	NOUN	4
serve	VERB	4
shrimp	NOUN	4
simple	ADJ	4
sin	NOUN	4
special	ADJ	4
such	DET	4
tea	NOUN	4
threat	NOUN	4
together	ADV	4
trip	NOUN	4
true	ADJ	4
walk	VERB	4
water	NOUN	4
wow	INTJ	4
13	NUM	3
150	NUM	3
19	NUM	3
1999	NUM	3
2002	NUM	3
22	NUM	3
26th	NOUN	3
300	NUM	3
36349	NUM	3
646-2600	NUM	3
7	NUM	3
732-657-3416	NUM	3
8	NUM	3
853-7906	NUM	3
African	ADJ	3
CD	NOUN	3
D	NOUN	3
EB3326	NOUN	3
Iranian	ADJ	3
Italian	ADJ	3
Thai	ADJ	3
USB	NOUN	3
access	NOUN	3
act	VERB	3
activity	NOUN	3
actual	ADJ	3
administrative	ADJ	3
agreement	NOUN	3
air	NOUN	3
airplane	NOUN	3
along	ADV	3
alt.animals.cat	NOUN	3
although	SCONJ	3
amount	NOUN	3
anywhere	ADV	3
appreciate	VERB	3
assault	NOUN	3
assist	VERB	3
assistant	NOUN	3
atmosphere	NOUN	3
attend	VERB	3
attention	NOUN	3
attorney	NOUN	3
away	ADP	3
background	NOUN	3
basically	ADV	3
beer	NOUN	3
besides	ADP	3
bet	NOUN	3
blackline	VERB	3
bland	ADJ	3
blank	ADJ	3
blast	NOUN	3
blog	NOUN	3
board	NOUN	3
booster	NOUN	3
both	DET	3
bottle	NOUN	3
buck	NOUN	3
cat	NOUN	3
catalog	NOUN	3
cleric	NOUN	3
client	NOUN	3
close	ADJ	3
comment	NOUN	3
compact	ADJ	3
complaint	NOUN	3
concerned	ADJ	3
concur	VERB	3
contact	NOUN	3
control	NOUN	3
control	VERB	3
conversation	NOUN	3
correlation	NOUN	3
cow	NOUN	3
crew	NOUN	3
curry	NOUN	3
deal	VERB	3
dentist	NOUN	3
description	NOUN	3
development	NOUN	3
die	VERB	3
direction	NOUN	3
dissent	VERB	3
divide	VERB	3
donut	NOUN	3
duty	NOUN	3
economy	NOUN	3
effort	NOUN	3
either	CCONJ	3
engine	NOUN	3
environment	NOUN	3
extremist	NOUN	3
face	NOUN	3
fair	ADJ	3
fascist	NOUN	3
fight	VERB	3
figure	VERB	3
fill	VERB	3
finally	ADV	3
finish	VERB	3
finished	ADJ	3
folk	NOUN	3
forum	NOUN	3
forward	ADV	3
frequently	ADV	3
fry	VERB	3
fun	ADJ	3
fyi	ADV	3
gallon	NOUN	3
guide	NOUN	3
hair	NOUN	3
hey	INTJ	3
hind	ADJ	3
hook	VERB	3
hunting	NOUN	3
imply	VERB	3
incredibly	ADV	3
industry	NOUN	3
inhibitory	ADJ	3
instead	ADV	3
invoice	NOUN	3
issue	VERB	3
kill	VERB	3
king	NOUN	3
lady	NOUN	3
large	ADJ	3
launch	NOUN	3
leader	NOUN	3
least	ADJ	3
lest	SCONJ	3
like	ADJ	3
like	INTJ	3
live	VERB	3
luck	NOUN	3
mad	ADJ	3
mad	NOUN	3
mail	NOUN	3
mainly	ADV	3
margin	NOUN	3
marriage	NOUN	3
militant	ADJ	3
military	ADJ	3
mouth	NOUN	3
myself	PRON	3
network	NOUN	3
none	PRON	3
official	NOUN	3
okay	INTJ	3
once	ADV	3
once	SCONJ	3
onto	ADP	3
otherwise	ADV	3
overpriced	ADJ	3
pacman	NOUN	3
pain	NOUN	3
painting	NOUN	3
perhaps	ADV	3
photography	NOUN	3
pizza	NOUN	3
pledge	VERB	3
plenty	NOUN	3
pos	NOUN	3
proof	NOUN	3
prove	VERB	3
purchase	VERB	3
px	NOUN	3
quickly	ADV	3
quite	ADV	3
ready	ADJ	3
recently	ADV	3
regular	ADJ	3
related	ADJ	3
release	VERB	3
reliable	ADJ	3
respond	VERB	3
responsible	ADJ	3
rest	NOUN	3
retail	NOUN	3
rise	VERB	3
sale	NOUN	3
sausage	NOUN	3
sector	NOUN	3
security	NOUN	3
sell	VERB	3
series	NOUN	3
shall	AUX	3
shoot	VERB	3
soldier	NOUN	3
somewhere	ADV	3
sorry	ADJ	3
sort	VERB	3
specific	ADJ	3
spend	VERB	3
sport	NOUN	3
spot	NOUN	3
spreadsheet	NOUN	3
stick	NOUN	3
stock	NOUN	3
storage	NOUN	3
story	NOUN	3
street	NOUN	3
supplies	NOUN	3
support	VERB	3
suspect	NOUN	3
suspect	VERB	3
switch	VERB	3
terrorism	NOUN	3
that	ADV	3
theory	NOUN	3
though	SCONJ	3
thumb	NOUN	3
tomorrow	NOUN	3
tonight	NOUN	3
tooth	NOUN	3
totally	ADV	3
track	VERB	3
treatment	NOUN	3
troops	NOUN	3
trouble	NOUN	3
twice	ADV	3
type	NOUN	3
unless	SCONJ	3
upgrade	VERB	3
upon	ADP	3
upper	ADJ	3
usd	NOUN	3
usually	ADV	3
vision	NOUN	3
vote	VERB	3
warranty	NOUN	3
watch	VERB	3
wedding	NOUN	3
whatever	DET	3
whom	PRON	3
willing	ADJ	3
woman	NOUN	3
worry	VERB	3
worth	ADJ	3
'68	NUM	2
'73	NUM	2
0	NUM	2
02/28/2001	NUM	2
09/08/2000	NUM	2
09/20/2000	NUM	2
10.2	NUM	2
12:30	NUM	2
13th	NOUN	2
1993045	NUM	2
2014	NUM	2
202	NUM	2
212	NUM	2
212-428-1181	NUM	2
212-902-3724	NUM	2
23	NUM	2
25	NUM	2
250	NUM	2
26	NUM	2
28	NUM	2
281	NUM	2
29th	NOUN	2
30	NUM	2
33	NUM	2
420588	NUM	2
50	NUM	2
5000	NUM	2
6363217	NUM	2
650	NUM	2
80	NUM	2
80s	NOUN	2
85	NUM	2
9	NUM	2
9/11	NUM	2
90	NUM	2
Afghan	ADJ	2
B	NOUN	2
British	ADJ	2
Economic	ADJ	2
Egyptian	ADJ	2
French	ADJ	2
German	ADJ	2
III	NUM	2
Lunar	ADJ	2
Mexican	ADJ	2
Prime	ADJ	2
Royal	ADJ	2
Saudi	ADJ	2
above	ADP	2
accident	NOUN	2
accomplish	VERB	2
act	NOUN	2
adjustment	NOUN	2
adult	NOUN	2
advisory	NOUN	2
afford	VERB	2
aggressive	ADJ	2
airport	NOUN	2
ally	NOUN	2
almost	ADV	2
alt.animals	NOUN	2
amp	NOUN	2
angry	ADJ	2
animation	NOUN	2
anybody	PRON	2
anyway	ADV	2
anyways	ADV	2
appointment	NOUN	2
appropriate	ADJ	2
approval	NOUN	2
architecture	NOUN	2
arrangement	NOUN	2
artistic	ADJ	2
associate	VERB	2
attempt	NOUN	2
attitude	NOUN	2
awful	ADJ	2
backdrop	NOUN	2
bagel	NOUN	2
band	NOUN	2
bank	NOUN	2
bartender	NOUN	2
basic	ADJ	2
bass	NOUN	2
battle	NOUN	2
bear	NOUN	2
bear	VERB	2
beautiful	ADJ	2
bet	VERB	2
bill	NOUN	2
birthday	NOUN	2
blouse	NOUN	2
bomb	NOUN	2
bombing	NOUN	2
boredom	NOUN	2
bother	VERB	2
brain	NOUN	2
brick	NOUN	2
brilliant	ADJ	2
brother	NOUN	2
brush	NOUN	2
budget	NOUN	2
buffer	NOUN	2
bus	NOUN	2
button	NOUN	2
cabinet	NOUN	2
calcium	NOUN	2
calligraphy	NOUN	2
campaign	NOUN	2
candy	NOUN	2
card	NOUN	2
cash	NOUN	2
category	NOUN	2
catering	NOUN	2
caveat	NOUN	2
century	NOUN	2
champagne	NOUN	2
channel	NOUN	2
charge	NOUN	2
chronic	ADJ	2
cichlid	NOUN	2
clearly	ADV	2
cliff	NOUN	2
climb	VERB	2
clinic	NOUN	2
closing	NOUN	2
closure	NOUN	2
clown	NOUN	2
clownloach	NOUN	2
club	NOUN	2
cold	ADJ	2
collapse	VERB	2
combine	VERB	2
commercial	ADJ	2
companion	NOUN	2
compensation	NOUN	2
completely	ADV	2
comprehensive	ADJ	2
concern	NOUN	2
concern	VERB	2
condemn	VERB	2
condo	NOUN	2
conference	NOUN	2
consolidation	NOUN	2
consulting	NOUN	2
content	NOUN	2
continue	VERB	2
contractor	NOUN	2
convenient	ADJ	2
cooperation	NOUN	2
corporate	ADJ	2
correction	NOUN	2
cortex	NOUN	2
cortical	ADJ	2
counsel	NOUN	2
court	NOUN	2
cpi	NOUN	2
crab	NOUN	2
crackpot	NOUN	2
craft	NOUN	2
crazy	ADJ	2
creative	ADJ	2
crisis	NOUN	2
criticize	VERB	2
crowd	NOUN	2
cube	NOUN	2
cute	ADJ	2
date	VERB	2
daughter	NOUN	2
decent	ADJ	2
delicious	ADJ	2
demand	VERB	2
demonstrate	VERB	2
despite	ADP	2
diplomacy	NOUN	2
direct	ADJ	2
discussion	NOUN	2
disease	NOUN	2
distinctive	ADJ	2
donate	VERB	2
donation	NOUN	2
done	ADJ	2
dose	NOUN	2
double	ADJ	2
doubt	VERB	2
draw	VERB	2
drink	NOUN	2
dryer	NOUN	2
easily	ADV	2
economic	ADJ	2
elsewhere	ADV	2
equipment	NOUN	2
equity	NOUN	2
equivalent	NOUN	2
essential	ADJ	2
essentially	ADV	2
establish	VERB	2
etc.	NOUN	2
euro	NOUN	2
exactly	ADV	2
exchange	NOUN	2
excited	ADJ	2
exciting	ADJ	2
execute	VERB	2
exhibit	VERB	2
exhibition	NOUN	2
exploration	NOUN	2
extend	VERB	2
eye	NOUN	2
facility	NOUN	2
fare	NOUN	2
fascism	NOUN	2
favorite	ADJ	2
favorite	NOUN	2
fee	NOUN	2
fifty	NUM	2
financing	NOUN	2
fit	VERB	2
flexibility	NOUN	2
flower	NOUN	2
fluid	ADJ	2
fly	VERB	2
foil	VERB	2
forbid	VERB	2
forget	VERB	2
fortune	NOUN	2
foundation	NOUN	2
frog	NOUN	2
fry	NOUN	2
fund	VERB	2
fundamentalist	NOUN	2
funny	ADJ	2
further	ADV	2
gay	ADJ	2
giant	NOUN	2
girlfriend	NOUN	2
glass	NOUN	2
google	VERB	2
grateful	ADJ	2
handle	VERB	2
hard	ADJ	2
hard	ADV	2
hate	VERB	2
heat	NOUN	2
hell	NOUN	2
hesitate	VERB	2
hibachi	NOUN	2
high	NOUN	2
hijacker	NOUN	2
hire	VERB	2
horrible	ADJ	2
hospital	NOUN	2
hospitality	NOUN	2
hostage	NOUN	2
i.e.	ADV	2
impressed	ADJ	2
inch	NOUN	2
incorporate	VERB	2
increase	NOUN	2
individual	NOUN	2
inexpensive	ADJ	2
info	NOUN	2
ingredient	NOUN	2
initially	ADV	2
insist	VERB	2
installation	NOUN	2
interesting	ADJ	2
international	ADJ	2
jacket	NOUN	2
joke	NOUN	2
kebab	NOUN	2
kid	NOUN	2
kindly	ADV	2
kitchen	NOUN	2
knowledgeable	ADJ	2
law	NOUN	2
layoff	NOUN	2
lead	VERB	2
lens	NOUN	2
less	ADJ	2
lift	VERB	2
limo	NOUN	2
loach	NOUN	2
low	ADJ	2
luggage	NOUN	2
lunar	ADJ	2
magic	ADJ	2
mailing	NOUN	2
majority	NOUN	2
maker	NOUN	2
manager	NOUN	2
manicure	NOUN	2
marble	NOUN	2
marry	VERB	2
master	NOUN	2
material	NOUN	2
mathematical	ADJ	2
means	NOUN	2
megapixel	NOUN	2
memorial	NOUN	2
mile	NOUN	2
minded	ADJ	2
mold	NOUN	2
monkey	NOUN	2
morph	VERB	2
mortal	ADJ	2
nasty	ADJ	2
neck	NOUN	2
neither	CCONJ	2
newsgroup	NOUN	2
nice	NOUN	2
noon	NOUN	2
nor	CCONJ	2
notch	NOUN	2
occupation	NOUN	2
official	ADJ	2
oil	NOUN	2
oily	ADJ	2
onion	NOUN	2
operate	VERB	2
optical	ADJ	2
optimization	NOUN	2
outside	ADV	2
own	ADJ	2
package	NOUN	2
pad	NOUN	2
pancake	NOUN	2
park	NOUN	2
participation	NOUN	2
particular	ADJ	2
particularly	ADV	2
party	NOUN	2
pause	NOUN	2
pause	VERB	2
pc	NOUN	2
peace	NOUN	2
penny	NOUN	2
perfectly	ADV	2
permit	NOUN	2
personal	ADJ	2
pharmacy	NOUN	2
pic	NOUN	2
port	NOUN	2
potential	ADJ	2
powerful	ADJ	2
practice	NOUN	2
pre-order	NOUN	2
prepare	VERB	2
previous	ADJ	2
professionalism	NOUN	2
protection	NOUN	2
protective	ADJ	2
ps	NOUN	2
pse	NOUN	2
push	VERB	2
rabbit	NOUN	2
rain	NOUN	2
raincoat	NOUN	2
rally	VERB	2
reach	VERB	2
reality	NOUN	2
receipt	NOUN	2
recent	ADJ	2
reel	NOUN	2
regulatory	ADJ	2
relationship	NOUN	2
relax	VERB	2
relaxed	ADJ	2
rescue	NOUN	2
resistance	NOUN	2
resource	NOUN	2
respect	VERB	2
resturant	NOUN	2
retarded	ADJ	2
rice	NOUN	2
ring	NOUN	2
ringneck	NOUN	2
route	NOUN	2
salon	NOUN	2
sample	NOUN	2
sandwich	NOUN	2
sauce	NOUN	2
scene	NOUN	2
search	VERB	2
selection	NOUN	2
sender	NOUN	2
senior	ADJ	2
separately	ADV	2
serious	ADJ	2
sheep	NOUN	2
sheet	NOUN	2
shoulder	NOUN	2
shut	VERB	2
side	NOUN	2
sign	NOUN	2
sign	VERB	2
significantly	ADV	2
similar	ADJ	2
simply	ADV	2
since	ADP	2
sink	VERB	2
sleek	ADJ	2
sleep	NOUN	2
slide	NOUN	2
snow	NOUN	2
software	NOUN	2
solid	ADJ	2
sorry	INTJ	2
spam	NOUN	2
speak	VERB	2
specialize	VERB	2
spray	VERB	2
stage	NOUN	2
stand	NOUN	2
stick	VERB	2
stocking	NOUN	2
study	VERB	2
suburb	NOUN	2
summer	NOUN	2
sundae	NOUN	2
super	ADV	2
superb	ADJ	2
superior	ADJ	2
supplement	NOUN	2
suppose	VERB	2
sushi	NOUN	2
talent	NOUN	2
talk	NOUN	2
ten	NUM	2
terror	NOUN	2
therapist	NOUN	2
throw	VERB	2
thus	ADV	2
tired	ADJ	2
tissue	NOUN	2
ton	NOUN	2
toolbar	NOUN	2
top	NOUN	2
tort	NOUN	2
toward	ADP	2
trace	VERB	2
track	NOUN	2
train	VERB	2
training	NOUN	2
transportation	NOUN	2
travel	VERB	2
tube	NOUN	2
tva	NOUN	2
twinkle	VERB	2
unfortunately	ADV	2
university	NOUN	2
unlock	VERB	2
upcoming	ADJ	2
usual	ADJ	2
utilize	VERB	2
vacation	NOUN	2
variety	NOUN	2
vegetable	NOUN	2
vehicle	NOUN	2
vendor	NOUN	2
via	ADP	2
view	VERB	2
violence	NOUN	2
violent	ADJ	2
voice	NOUN	2
volatility	NOUN	2
volunteer	VERB	2
waste	VERB	2
waterproof	ADJ	2
wealth	NOUN	2
weapon	NOUN	2
wear	VERB	2
webmaster	NOUN	2
whenever	ADV	2
will	NOUN	2
wise	ADJ	2
wonder	NOUN	2
worthy	ADJ	2
yesterday	NOUN	2
$	NOUN	1
'67	NUM	1
'70	NUM	1
'71	NUM	1
'72	NUM	1
'74	NUM	1
000	NOUN	1
0102	NUM	1
01040-2841	NUM	1
01634	NUM	1
02:29	NUM	1
02:45:50	NUM	1
03/23/2001	NUM	1
03/26/2001	NUM	1
03:10:35	NUM	1
03:16	NUM	1
03:17:01	NUM	1
03:22	NUM	1
03:51	NUM	1
04:41	NUM	1
05:12:00	NUM	1
05:54	NUM	1
06	NUM	1
06/02/2001	NUM	1
06/04/2001	NUM	1
06/12/2000	NUM	1
07/06/2000	NUM	1
07551310002	NUM	1
07:03:00	NUM	1
07:18:20	NUM	1
08759	NUM	1
08:58	NUM	1
09:32	NUM	1
09:36	NUM	1
09:36:00	NUM	1
09:55	NUM	1
1/2	ADJ	1
1/29/02	NUM	1
10.0	NUM	1
10.000.000	NUM	1
100	NUM	1
10000	NUM	1
100000	NUM	1
101	NUM	1
1027	NUM	1
10274494	NUM	1
10461	NUM	1
10468	NUM	1
10469	NUM	1
1051	NUM	1
108.333	NUM	1
10:20	NUM	1
10:53	NUM	1
11/14/2000	NUM	1
11/15/2000	NUM	1
11/20/2004	NUM	1
110555	NUM	1
112610	NUM	1
11:16:25	NUM	1
11:21	NUM	1
11:37	NUM	1
11:58	NUM	1
12/07/2000	NUM	1
1250000	NUM	1
12514373	NUM	1
12:15	NUM	1
12:24	NUM	1
13	NOUN	1
1400	NUM	1
14:57	NUM	1
14th	NOUN	1
15	NUM	1
15000	NUM	1
1552	NUM	1
1559	NUM	1
166960	NUM	1
16th	NOUN	1
17	NUM	1
17611	NUM	1
1776	NUM	1
17th	NOUN	1
18	NUM	1
185	NUM	1
19250000	NUM	1
1946	NUM	1
1954	NUM	1
195610	NUM	1
1957	NUM	1
1966	NUM	1
1974	NUM	1
1975	NUM	1
1976	NUM	1
1983	NUM	1
1993	NUM	1
1998	NUM	1
2.5	NUM	1
2/14/2005	NUM	1
2/15/2005	NUM	1
20006-3700	NUM	1
2005	NUM	1
2012	NUM	1
202989	NUM	1
203-719-7031	NUM	1
203-719-8385	NUM	1
2158	NUM	1
216-292-2855	NUM	1
216-292-7207	NUM	1
21st	ADJ	1
22101	NUM	1
2239879	NUM	1
22750000	NUM	1
250393	NUM	1
256000	NUM	1
265932	NUM	1
27	NUM	1
27361	NUM	1
27886	NUM	1
28601	NUM	1
296-3858	NUM	1
31	NUM	1
31180	NUM	1
31st	NOUN	1
32.500	NUM	1
32387	NUM	1
35	NUM	1
3500000	NUM	1
36	NUM	1
36398	NUM	1
365013	NUM	1
38750000	NUM	1
3901	NUM	1
398487	NUM	1
3993310	NUM	1
4.355	NUM	1
4/14/00	NUM	1
40000000	NUM	1
413	NUM	1
4222	NUM	1
4223000	NUM	1
42299	NUM	1
43	NUM	1
430	NUM	1
432785	NUM	1
43548	NUM	1
44122	NUM	1
45	NOUN	1
48	NUM	1
4809	NUM	1
4:00	NUM	1
4:30	NUM	1
5/28/00	NUM	1
5/30/00	NUM	1
500	NUM	1
500.00	NUM	1
51	NUM	1
512-232-2787	NUM	1
512-471-5073	NUM	1
52	NUM	1
528-8636	NUM	1
53000	NUM	1
535-4000	NUM	1
55678	NUM	1
55th	ADJ	1
577	NUM	1
60000	NUM	1
615	NUM	1
631	NUM	1
646-2495	NUM	1
646-3490	NUM	1
651-7106	NUM	1
70000	NUM	1
710-6084	NUM	1
710033	NUM	1
713.853.3102	NUM	1
713/853-5025	NUM	1
723	NUM	1
725	NUM	1
744	NUM	1
75	NUM	1
77002	NUM	1
77388-5746	NUM	1
78	NOUN	1
78712-1179	NUM	1
788	NUM	1
7979	NUM	1
7:30	NUM	1
7th	NOUN	1
8/28/2005	NUM	1
8/30/2005	NUM	1
81	NUM	1
825	NUM	1
828-3933	NUM	1
83.5	NUM	1
85.000	NUM	1
853-0569	NUM	1
853-5620	NUM	1
853-7408	NUM	1
869	NUM	1
891-5042	NUM	1
8:30	NUM	1
9-11	NUM	1
9.5	NUM	1
909-0951	NUM	1
93.5	NUM	1
943	NUM	1
94305-5015	NUM	1
950	NUM	1
965	NUM	1
985	NUM	1
995	NUM	1
9:30	NUM	1
ASAP	ADV	1
Alexandrine	ADJ	1
Arab	ADJ	1
Argentinian	ADJ	1
Asian	ADJ	1
Australian	ADJ	1
B	ADJ	1
B2B	NOUN	1
Botanical	ADJ	1
Breyer	NOUN	1
Bright	ADJ	1
C	NOUN	1
Canadian	ADJ	1
Chilean	ADJ	1
Cognitive	ADJ	1
Daily	ADJ	1
ENA	NOUN	1
EWS	NOUN	1
EY4096.1	NOUN	1
EY4096.3	NOUN	1
EY4096.4	NOUN	1
EY4096.7	NOUN	1
EY4106.6	NOUN	1
EY4106.7	NOUN	1
EY4106.9	NOUN	1
EY4108.E	NOUN	1
EY4108.F	NOUN	1
EY4108.H	NOUN	1
EY4108.I	NOUN	1
English	ADJ	1
Extreme	ADJ	1
